file,dates,ports,lanes,artifact_roots,mutating_terms

tools/e2e/Extract-Phase05CurrentWeekCommitReceipt.mjs,2026-08-10,,ipc_lane7,.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/cleanup/current-week-import,cleanup

tools/e2e/Phase05WeeklyMenuFixtureTool/Program.cs,,,,,delete;update

tools/e2e/Probe-Phase05StickyMenuHeader.mjs,,3030,ipc_lane7,.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/cleanup/current-week-import/fixtures/weekly-menu-golden-ANV.xlsx;.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/cleanup/sticky-header-fix,cleanup

tools/e2e/Read-Phase05CurrentWeekMenuImport.mjs,2026-08-10,3030,ipc_lane7,.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/cleanup/current-week-import,cleanup

tools/e2e/Run-Phase05CanonicalMenuImport.mjs,2026-08-17,3030;8030,ipc_lane7,.artifacts/browser-use-phase05-task0;.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/cleanup,cleanup;update

tools/e2e/Run-Phase05CanonicalMenuReadback.mjs,2026-08-17,3030;8030,ipc_lane7,.artifacts/browser-use-phase05-task0-readback;.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/cleanup,cleanup

tools/e2e/Run-Phase05CanonicalMenuUiGate.mjs,,3030;8030,ipc_lane7,.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/cleanup/ui-gate,cleanup;delete

tools/e2e/Run-Phase05CurrentWeekMenuImport.mjs,2026-08-10,3030;8030,ipc_lane7,.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/cleanup/current-week-import,cleanup;update

tools/e2e/Run-Phase05Exceptions.ps1,,,ipc_lane7,.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/exceptions,

tools/e2e/Run-Phase05GoldenPath.ps1,,,ipc_lane7,.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/golden;.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/preflight,

tools/e2e/Run-Phase05Task0UiCorrections.mjs,2026-08-17,3030,ipc_lane7,.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/cleanup/ui-corrections,cleanup

tools/e2e/Run-Phase05WeekStartNormalizationGate.mjs,2026-08-09;2026-08-10,3030,ipc_lane7,.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/cleanup/week-start-fix,cleanup

tools/e2e/Start-BaselineRuntime.ps1,,3037;8037,,.artifacts/shipyard-live/ipcmanagement-baseline-runtime,

tools/e2e/Start-GoldenDemoRuntime.ps1,,3036;8036,ipc_lane7,.artifacts/shipyard-live/phase05-golden-demo-runtime,

tools/e2e/Test-Phase05GoldenDemoScope.ps1,,,ipc_lane7,.artifacts/shipyard-live/phase05-golden-demo-scope.json,

tools/e2e/Test-Phase05HeadedControl.ps1,,,,.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/preflight,post

tools/e2e/default-campaign-wave0.mjs,,3040,IPC_LANE7,.artifacts/default-feature-campaign/20260923-075251/browser-wave0,

tools/e2e/default-campaign-weekly-menu-happy.mjs,2026-10-12,3040,IPC_LANE7;ipc_default_campaign_20260923_075251,.artifacts/default-feature-campaign/20260923-075251/fixtures/weekly-menu-;.artifacts/default-feature-campaign/20260923-075251/weekly-menu-happy,update

tools/e2e/default-campaign-weekly-menu-readback.mjs,2026-10-12,3040,IPC_LANE7;ipc_default_campaign_20260923_075251,.artifacts/default-feature-campaign/20260923-075251/weekly-menu-happy-readback,

tools/e2e/default-campaign-weekly-menu-worst.mjs,2026-10-12;2026-10-19,3040,IPC_LANE7;ipc_default_campaign_20260923_075251,.artifacts/default-feature-campaign/20260923-075251/fixtures/weekly-menu-ANV-2026-10-12.xlsx;.artifacts/default-feature-campaign/20260923-075251/fixtures/weekly-menu-DAV-2026-10-12.xlsx;.artifacts/default-feature-campaign/20260923-075251/weekly-menu-happy/result.json,post

tools/e2e/phase05-aggregate-golden-viewports.mjs,,,ipc_lane7,.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/golden/viewports,

tools/e2e/phase05-amendment-ui-probe.mjs,,3030,IPC_LANE7;ipc_lane7,,

tools/e2e/phase05-build-golden-manifest.mjs,2026-08-10;2026-08-15,3030;8030,IPC_LANE7;ipc_lane7,.artifacts/shipyard-live/phase-05-multi-customer-lifecycle,post;update

tools/e2e/phase05-build-quality-isolation-manifest.mjs,,,IPC_LANE7;ipc_lane7,.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/exceptions/quality-isolation,

tools/e2e/phase05-chef-checklist-visual-probe.mjs,,3030,IPC_LANE7;ipc_lane7,.artifacts/browser-use-chef-checklist;.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/golden/chef-checklist-quick-fix,

tools/e2e/phase05-cls-attribution.mjs,,3030,IPC_LANE7,,

tools/e2e/phase05-demand-tab-probe.mjs,2026-08-10,3030,IPC_LANE7,.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/golden/demand-tab-probe,

tools/e2e/phase05-exception-ambiguous-lineage-readback.mjs,,3035,IPC_LANE7;ipc_lane7,.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/exceptions/ambiguous-lineage,

tools/e2e/phase05-exception-excess-disposition.mjs,2026-08-10,3030,IPC_LANE7;ipc_lane7,.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/exceptions/excess-disposition,post

tools/e2e/phase05-exception-excess-negative.mjs,2026-08-10,3030,IPC_LANE7;ipc_lane7,.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/exceptions/excess-negative,

tools/e2e/phase05-exception-kitchen-discrepancy.mjs,2026-08-11,3032,IPC_LANE7;ipc_lane7,.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/exceptions/kitchen-discrepancy;.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/golden/manifest.json,post;update

tools/e2e/phase05-exception-retry-matrix-continuation.mjs,2026-08-15,3036;8036,IPC_LANE7;ipc_lane7,.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/exceptions/retry-matrix,post

tools/e2e/phase05-exception-retry-matrix.mjs,2026-08-15,3036,IPC_LANE7;ipc_lane7,.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/exceptions/retry-matrix,post

tools/e2e/phase05-exception-return-receipt.mjs,2026-08-10,3030,IPC_LANE7;ipc_lane7,.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/exceptions/return-receipt;.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/golden/manifest.json,post;update

tools/e2e/phase05-exception-service-runs.mjs,2026-08-10,3030;3035,IPC_LANE7;ipc_lane7,.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/cleanup/manual-runtime-logs/api-reload.stdout.log;.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/exceptions/service-runs;.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/golden/manifest.json,cleanup;post;update

tools/e2e/phase05-exception-shared-shortage-blocked-allocation.mjs,,3036,IPC_LANE7;ipc_lane7,.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/exceptions/shared-shortage-blocked-allocation,post

tools/e2e/phase05-exception-supplemental-partial.mjs,2026-08-10,3030;8034,IPC_LANE7;ipc_lane7,.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/exceptions/supplemental-partial,post

tools/e2e/phase05-exception-waste.mjs,2026-08-10,3030,IPC_LANE7;ipc_lane7,.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/exceptions/waste,post

tools/e2e/phase05-finalize-excess-disposition.mjs,2026-08-10,3030,IPC_LANE7;ipc_lane7,.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/exceptions/excess-disposition,post

tools/e2e/phase05-finalize-return-receipt.mjs,2026-08-10,3030,IPC_LANE7;ipc_lane7,.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/cleanup/manual-runtime-logs/api-reload.stdout.log;.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/exceptions/return-receipt;.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/golden/manifest.json,cleanup;post;update

tools/e2e/phase05-finalize-supplemental-partial.mjs,2026-08-10,3030,IPC_LANE7;ipc_lane7,.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/exceptions/supplemental-partial,post

tools/e2e/phase05-finalize-supplemental-route.mjs,2026-08-10,3030,IPC_LANE7;ipc_lane7,.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/exceptions/supplemental-partial,post

tools/e2e/phase05-golden-approve-demands.mjs,2026-08-10;2026-08-15,3030,IPC_LANE7;ipc_lane7,.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/golden/approve-demands,post

tools/e2e/phase05-golden-approve-purchase-requests.mjs,2026-08-10;2026-08-15,3030,IPC_LANE7;ipc_lane7,.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/golden/approve-purchase-requests,post

tools/e2e/phase05-golden-create-issues.mjs,2026-08-10;2026-08-15,3030,IPC_LANE7;ipc_lane7,.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/golden/create-issues,post

tools/e2e/phase05-golden-create-purchase-orders.mjs,2026-08-10;2026-08-15,3030,IPC_LANE7;ipc_lane7,.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/golden/create-purchase-orders,post

tools/e2e/phase05-golden-create-purchase-requests.mjs,2026-08-10;2026-08-15,3030,IPC_LANE7;ipc_lane7,.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/golden/create-purchase-requests,post

tools/e2e/phase05-golden-create-receipts.mjs,2026-08-10;2026-08-15,3030,IPC_LANE7;ipc_lane7,.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/golden/create-receipts,post

tools/e2e/phase05-golden-five-viewports.mjs,,3030,IPC_LANE7;ipc_lane7,.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/golden/viewports,post

tools/e2e/phase05-golden-kitchen-acknowledgement.mjs,2026-08-10;2026-08-11;2026-08-12;2026-08-13,3030,IPC_LANE7;ipc_lane7,.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/golden/kitchen-acknowledgement,post

tools/e2e/phase05-golden-receipt-lifecycle.mjs,2026-08-10;2026-08-15,3030,IPC_LANE7;ipc_lane7,.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/golden/receipt-,post

tools/e2e/phase05-golden-service-runs.mjs,2026-08-10;2026-08-11;2026-08-12;2026-08-13,3030,IPC_LANE7;ipc_lane7,.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/golden/service-runs,post

